SampleID	Treatment	Time	Species	Abundance		X.SampleID	Time	Treatment	Species	Abundance
CC20D	Treatment	3	Lactobacillus	0.014735251		CC20D	3	2	Lactobacillus	262
CC21A	Treatment	0	Lactobacillus	0.003974347		CC21A	0	2	Lactobacillus	38
CC21B	Treatment	1	Lactobacillus	0.019086892		CC21B	1	2	Lactobacillus	276
CC21C	Treatment	2	Lactobacillus	0.036512976		CC21C	2	2	Lactobacillus	507
CC21D	Treatment	3	Lactobacillus	0.015636788		CC21D	3	2	Lactobacillus	217
CC22A	Treatment	0	Lactobacillus	0.206321962		CC22A	0	2	Lactobacillus	2612
CC22B	Treatment	1	Lactobacillus	0.007208533		CC22B	1	2	Lactobacillus	95
CC22C	Treatment	2	Lactobacillus	0.025784106		CC22C	2	2	Lactobacillus	130
CC22D	Treatment	3	Lactobacillus	0.013083172		CC22D	3	2	Lactobacillus	171
CC23A	Treatment	0	Lactobacillus	0.027473958		CC23A	0	2	Lactobacillus	201
CC23B	Treatment	1	Lactobacillus	0.019655399		CC23B	1	2	Lactobacillus	368
CC23C	Treatment	2	Lactobacillus	0.003580196		CC23C	2	2	Lactobacillus	31
CC23D	Treatment	3	Lactobacillus	0.016009737		CC23D	3	2	Lactobacillus	331
CC24A	Treatment	0	Lactobacillus	0.044609288		CC24A	0	2	Lactobacillus	435
CC24B	Treatment	1	Lactobacillus	0.007296028		CC24B	1	2	Lactobacillus	108
CC24D	Treatment	3	Lactobacillus	0.0030004		CC24D	3	2	Lactobacillus	41
CC01A	Control	0	Parabacteroides	0.005895552		CC01A	0	1	Parabacteroides	128
CC01B	Control	1	Parabacteroides	0.001961524		CC01B	1	1	Parabacteroides	24
CC01C	Control	2	Parabacteroides	0.002219176		CC01C	2	1	Parabacteroides	34
CC01D	Control	3	Parabacteroides	0.003266736		CC01D	3	1	Parabacteroides	66
CC02A	Control	0	Parabacteroides	0.002320354		CC02A	0	1	Parabacteroides	63
CC02B	Control	1	Parabacteroides	0.001789798		CC02B	1	1	Parabacteroides	34
CC02C	Control	2	Parabacteroides	0.002068167		CC02C	2	1	Parabacteroides	44
CC02D	Control	3	Parabacteroides	0.003547777		CC02D	3	1	Parabacteroides	73
CC03A	Control	0	Parabacteroides	0.00413514		CC03A	0	1	Parabacteroides	46
CC03B	Control	1	Parabacteroides	0.002985615		CC03B	1	1	Parabacteroides	32
CC03C	Control	2	Parabacteroides	0.004532578		CC03C	2	1	Parabacteroides	46
CC03D	Control	3	Parabacteroides	0.00277491		CC03D	3	1	Parabacteroides	40
CC04A	Control	0	Parabacteroides	0.012237068		CC04A	0	1	Parabacteroides	163
